Fla., 75.7, 58.53
Hawaii, 75.6, 18.29
Texas, 68.6, 32.92
La., 68.2, 64.16
Fla., 66.6, 52.34
Nev., 66.0, 4.49
Ala., 64.3, 54.77
S.C., 64.2, 51.53
S.C., 63.2, 48.27
Ark., 61.4, 50.93
N.C., 60.9, 43.51
Calif., 60.8, 13.15
Okla., 60.8, 42.42
N.C., 59.1, 43.05
Calif., 58.9, 17.93
Tenn., 58.5, 48.11
Va., 57.4, 45.74
Va., 57.1, 43.91
Mo., 56.6, 38.75
Calif., 56.2, 20.11
D.C., 56.1, 39.35
N.M., 55.6, 9.47
Mo., 54.4, 37.98
N.C., 54.1, 47.07
Md., 53.2, 41.94
Pa., 53.1, 42.05
Del., 52.4, 42.81
Ind., 52.0, 40.95
Ore., 51.2, 37.07
Colo., 50.9, 8.99
N.J., 50.6, 40.59
Wash., 50.2, 37.07
Pa., 49.9, 37.85
Conn., 48.9, 46.16
Mass., 48.3, 42.53
Ohio, 48.3, 33.21
Mich., 48.1, 32.89
Ill., 47.8, 36.27
Colo., 47.6, 15.81
Wash., 47.4, 50.79
Minn., 46.6, 29.41
Wash., 46.5, 16.67
Mont., 46.1, 14.77
Wisc., 45.9, 32.95
N.Y., 45.3, 40.54
N.H., 44.6, 37.6
N.D., 43.3, 16.84
Minn., 39.0, 31.0
Maine, 38.1, 37.44
Alaska, 31.7, 10.34
